matchday,days_since_last_game_fcb,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_fcb,diff_elo,odds_of_fcb_win,points_won
7,14,13,1,3,1792,2004,142,0.56,1
9,3,6,1,12,1716,1976,184,0.58,1
11,11,13,1,8,1695,1968,193,0.61,1
16,14,13,0,7,1758,1987,311,0.75,1
22,8,7,1,9,1741,1999,186,0.62,0
25,7,6,1,13,1677,1980,230,0.65,1
33,3,3,1,11,1679,2023,266,0.69,1
2,13,14,0,19,1628,2015,468,0.87,0
6,4,7,0,17,1738,1988,329,0.77,1
23,7,7,1,10,1626,2046,330,0.77,1
28,5,7,1,5,1706,2056,251,0.7,1
32,4,3,1,2,1996,2076,-7,0.32,1
34,3,7,1,15,1618,2086,377,0.82,0
36,3,4,1,14,1657,2071,326,0.76,1
3,12,14,1,12,1645,2072,340,0.78,1
5,5,4,1,3,1822,2054,147,0.55,1
9,2,6,0,9,1757,2054,383,0.82,1
12,5,3,1,10,1740,2058,235,0.66,1
14,3,6,1,11,1649,2059,328,0.77,0
18,4,22,1,14,1680,2058,293,0.72,1
21,3,5,1,18,1679,2056,291,0.73,1
23,3,6,1,7,1700,2050,266,0.69,0
35,3,4,0,1,2071,2097,114,0.52,0
