matchday,days_since_last_game_fcb,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_fcb,diff_elo,odds_of_fcb_win,points_won
3,12,14,1,12,1645,2072,340,0.78,1
5,5,4,1,3,1822,2054,147,0.55,1
9,2,6,0,9,1757,2054,383,0.82,1
12,5,3,1,10,1740,2058,235,0.66,1
14,3,6,1,11,1649,2059,328,0.77,0
18,4,22,1,14,1680,2058,293,0.72,1
21,3,5,1,18,1679,2056,291,0.73,1
23,3,6,1,7,1700,2050,266,0.69,0
35,3,4,0,1,2071,2097,114,0.52,0
3,13,12,0,9,1628,2060,516,0.89,0
5,4,4,0,3,1995,2045,137,0.52,1
7,4,3,1,13,1768,2054,202,0.61,0
12,13,15,0,11,1726,2026,388,0.82,1
13,4,7,1,6,1773,2016,147,0.54,1
14,3,7,0,1,2054,2011,48,0.45,1
17,3,22,1,5,1773,2016,147,0.54,1
20,3,7,1,15,1673,2019,253,0.68,1
27,4,4,1,16,1649,2043,307,0.77,0
31,3,3,1,11,1665,2033,285,0.74,0
