matchday,days_since_last_game_madrid,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_madrid,diff_elo,odds_of_madrid_win,points_won
4,13,14,1,6,1727,2032,218,0.66,1
7,3,4,0,1,1878,2028,244,0.68,0
10,3,4,1,2,2053,2028,-113,0.22,0
16,4,13,1,18,1641,2028,312,0.76,1
22,5,7,1,4,1733,2063,202,0.64,1
26,4,7,1,1,1914,2054,69,0.43,1
29,5,7,0,2,2028,2060,105,0.51,0
30,3,3,1,5,1797,2050,181,0.62,0
35,5,3,0,8,1799,2096,369,0.82,1
36,3,4,1,19,1688,2088,330,0.79,1
37,4,8,1,9,1731,2081,276,0.74,0
2,6,3,1,12,1764,2069,228,0.68,0
3,13,14,0,3,1965,2051,165,0.57,0
17,15,15,1,4,1821,2084,194,0.62,0
22,3,7,1,3,1963,2080,44,0.4,0
25,7,3,0,6,1819,2070,332,0.78,1
26,6,6,1,7,1746,2062,237,0.68,0
28,7,4,1,1,2032,2049,-67,0.27,0
36,4,6,0,4,1931,2073,274,0.72,1
