matchday,days_since_last_game_madrid,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_madrid,diff_elo,odds_of_madrid_win,points_won
1,14,14,1,17,1762,1935,91,0.49,1
5,4,3,1,14,1595,1937,262,0.73,1
13,6,5,1,1,2008,1968,-138,0.21,0
19,3,3,1,20,1621,1978,268,0.73,1
21,4,7,1,9,1635,1973,247,0.67,0
25,4,6,1,18,1639,1967,234,0.65,1
30,14,13,0,10,1656,1985,424,0.83,0
32,3,4,0,1,2076,1996,7,0.4,1
34,3,5,0,13,1671,1992,412,0.83,0
4,4,7,1,6,1664,2007,255,0.7,0
5,3,3,1,20,1653,1993,255,0.7,1
16,3,4,0,2,2046,2040,78,0.48,0
28,4,8,0,4,1739,2073,426,0.87,1
29,3,3,1,18,1687,2065,287,0.75,1
32,4,3,0,3,1840,2079,326,0.79,1
1,14,14,0,5,1810,2087,361,0.81,1
2,3,8,1,10,1696,2082,305,0.76,0
4,13,13,1,9,1757,2069,227,0.67,0
7,4,3,0,1,2097,2073,-121,0.23,1
13,3,6,1,7,1721,2061,252,0.71,0
16,4,9,0,13,1645,2050,488,0.89,1
17,6,7,1,6,1804,2041,155,0.57,0
19,3,6,1,16,1691,2030,260,0.7,1
22,3,5,1,15,1635,2036,308,0.75,0
29,14,14,1,20,1659,2043,292,0.73,1
36,3,6,1,13,1708,2027,226,0.66,1
