matchday,days_since_last_game_madrid,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_madrid,diff_elo,xg_diff,odds_of_madrid_win,points_won
2,6,3,1,12,1764,2069,228,-0.42,0.68,0
3,13,14,0,3,1965,2051,165,0.48,0.57,0
17,15,15,1,4,1821,2084,194,1.92,0.62,0
22,3,7,1,3,1963,2080,44,-2.17,0.4,0
25,7,3,0,6,1819,2070,332,2.11,0.78,1
26,6,6,1,7,1746,2062,237,0.53,0.68,0
28,7,4,1,1,2032,2049,-67,-0.6,0.27,0
36,4,6,0,4,1931,2073,274,1.13,0.72,1
1,14,14,1,17,1698,2061,295,1.21,0.74,1
6,3,3,0,8,1700,2066,433,2.55,0.85,1
7,4,4,1,3,1931,2052,54,-1.6,0.41,1
11,5,5,1,7,1833,2052,143,-1.14,0.56,0
12,13,13,0,1,2053,2041,69,-2.02,0.46,0
15,5,3,1,4,1765,2026,182,0.52,0.58,0
18,4,3,1,12,1793,2017,144,-1.28,0.55,1
21,7,8,1,10,1659,2018,278,3.14,0.74,1
25,4,8,1,8,1734,2030,216,0.07,0.63,1
26,6,3,0,3,1951,2028,153,0.28,0.53,0
5,3,3,0,5,1795,2076,367,0.31,0.79,1
6,3,4,1,14,1715,2068,269,1.43,0.73,1
7,5,8,0,10,1681,2062,466,1.22,0.88,1
14,3,6,1,2,2011,2054,-48,-0.38,0.29,1
17,3,8,1,4,1849,2049,108,1.62,0.49,0
23,4,3,1,12,1683,2035,261,0.16,0.72,0
25,3,5,0,14,1663,2027,452,0.9,0.88,1
31,3,4,0,3,1951,2043,174,-0.27,0.56,1
33,5,4,0,2,1991,2057,152,-0.84,0.58,0
2,7,9,0,4,1714,2087,454,2.48,0.89,1
3,13,14,0,17,1664,2079,490,2.42,0.89,1
5,3,4,0,6,1657,2079,502,2.18,0.91,0
10,3,6,1,10,1614,2050,359,-0.68,0.81,0
12,13,14,1,2,1910,2019,29,0.66,0.38,1
14,4,6,1,16,1727,2031,228,0.54,0.66,1
17,7,6,0,1,2027,2024,82,-2.41,0.48,0
18,3,15,1,13,1702,2007,225,0.06,0.67,1
19,3,6,0,5,1752,2001,330,1.49,0.77,0
22,7,7,1,17,1625,1995,288,0,0.73,1
26,3,4,1,11,1682,2002,233,0.32,0.67,0
31,5,3,0,2,1955,2032,163,1.05,0.54,1
33,3,4,0,16,1717,2014,385,0.5,0.84,1
