matchday,days_since_last_game_madrid,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_madrid,diff_elo,odds_of_madrid_win,points_won
6,4,5,1,4,1876,1902,44,0.29,0
8,3,6,1,15,1652,1874,149,0.57,1
12,4,5,1,1,1967,1880,-169,0.18,0
16,15,15,1,12,1689,1902,133,0.53,1
18,6,6,1,8,1711,1904,116,0.52,0
31,6,4,0,1,2010,1927,-9,0.37,0
38,8,8,1,17,1664,1945,205,0.64,1
1,14,14,1,17,1762,1935,91,0.49,1
5,4,3,1,14,1595,1937,262,0.73,1
13,6,5,1,1,2008,1968,-138,0.21,0
19,3,3,1,20,1621,1978,268,0.73,1
21,4,7,1,9,1635,1973,247,0.67,0
25,4,6,1,18,1639,1967,234,0.65,1
30,14,13,0,10,1656,1985,424,0.83,0
32,3,4,0,1,2076,1996,7,0.4,1
34,3,5,0,13,1671,1992,412,0.83,0
1,14,14,0,5,1810,2087,361,0.81,1
2,3,8,1,10,1696,2082,305,0.76,0
4,13,13,1,9,1757,2069,227,0.67,0
7,4,3,0,1,2097,2073,-121,0.23,1
13,3,6,1,7,1721,2061,252,0.71,0
16,4,9,0,13,1645,2050,488,0.89,1
17,6,7,1,6,1804,2041,155,0.57,0
19,3,6,1,16,1691,2030,260,0.7,1
22,3,5,1,15,1635,2036,308,0.75,0
29,14,14,1,20,1659,2043,292,0.73,1
36,3,6,1,13,1708,2027,226,0.66,1
4,13,14,1,6,1727,2032,218,0.66,1
7,3,4,0,1,1878,2028,244,0.68,0
10,3,4,1,2,2053,2028,-113,0.22,0
16,4,13,1,18,1641,2028,312,0.76,1
22,5,7,1,4,1733,2063,202,0.64,1
26,4,7,1,1,1914,2054,69,0.43,1
29,5,7,0,2,2028,2060,105,0.51,0
30,3,3,1,5,1797,2050,181,0.62,0
35,5,3,0,8,1799,2096,369,0.82,1
36,3,4,1,19,1688,2088,330,0.79,1
37,4,8,1,9,1731,2081,276,0.74,0
2,6,3,1,12,1764,2069,228,0.68,0
3,13,14,0,3,1965,2051,165,0.57,0
17,15,15,1,4,1821,2084,194,0.62,0
22,3,7,1,3,1963,2080,44,0.4,0
25,7,3,0,6,1819,2070,332,0.78,1
26,6,6,1,7,1746,2062,237,0.68,0
28,7,4,1,1,2032,2049,-67,0.27,0
36,4,6,0,4,1931,2073,274,0.72,1
1,14,14,1,17,1698,2061,295,0.74,1
6,3,3,0,8,1700,2066,433,0.85,1
7,4,4,1,3,1931,2052,54,0.41,1
11,5,5,1,7,1833,2052,143,0.56,0
12,13,13,0,1,2053,2041,69,0.46,0
15,5,3,1,4,1765,2026,182,0.58,0
18,4,3,1,12,1793,2017,144,0.55,1
21,7,8,1,10,1659,2018,278,0.74,1
25,4,8,1,8,1734,2030,216,0.63,1
26,6,3,0,3,1951,2028,153,0.53,0
2,7,9,0,4,1714,2087,454,0.89,1
3,13,14,0,17,1664,2079,490,0.89,1
5,3,4,0,6,1657,2079,502,0.91,0
10,3,6,1,10,1614,2050,359,0.81,0
12,13,14,1,2,1910,2019,29,0.38,1
14,4,6,1,16,1727,2031,228,0.66,1
17,7,6,0,1,2027,2024,82,0.48,0
18,3,15,1,13,1702,2007,225,0.67,1
19,3,6,0,5,1752,2001,330,0.77,0
22,7,7,1,17,1625,1995,288,0.73,1
26,3,4,1,11,1682,2002,233,0.67,0
31,5,3,0,2,1955,2032,163,0.54,1
33,3,4,0,16,1717,2014,385,0.84,1
