matchday,days_since_last_game_madrid,days_since_last_game_opp,home_0_away_1,final_league_position,elo_opp,elo_madrid,diff_elo,odds_of_madrid_win,points_won
4,4,7,1,6,1664,2007,255,0.7,0
5,3,3,1,20,1653,1993,255,0.7,1
16,3,4,0,2,2046,2040,78,0.48,0
28,4,8,0,4,1739,2073,426,0.87,1
29,3,3,1,18,1687,2065,287,0.75,1
32,4,3,0,3,1840,2079,326,0.79,1
5,3,3,0,5,1795,2076,367,0.79,1
6,3,4,1,14,1715,2068,269,0.73,1
7,5,8,0,10,1681,2062,466,0.88,1
14,3,6,1,2,2011,2054,-48,0.29,1
17,3,8,1,4,1849,2049,108,0.49,0
23,4,3,1,12,1683,2035,261,0.72,0
25,3,5,0,14,1663,2027,452,0.88,1
31,3,4,0,3,1951,2043,174,0.56,1
33,5,4,0,2,1991,2057,152,0.58,0
